61.861,30.958	Zaranj, Nimruz, Afghanistan	      1 Zaranj
7.114,35.878	Oum El Bouaghi, Algeria	      2 Oum El Bouaghi	      2 Oum-El-Bouaghi	      2 Doum El Bouaghi	      2 Onum El Bouaghi	      2 Oum Elbouaghi
7.133,35.417	Khenchela, Algeria	      2 Khenchela	      2 Khanchela
7.434,36.466	Guelma, Algeria	      2 Guelma
7.75,36.8	El Hadjar, Annaba, Algeria	      1 El-Hadjar
7.756,36.899	Annaba, Algeria	     30 Annaba	      1 ANNABA	      1 Badji Mokhtar	      1 Badji-Mokhtar	      1 Dorban	      1 annaba
7.924,36.278	Souk Ahras, Algeria	      2 Souk Ahras	      2 Souk-Ahras
8.111,35.412	Tebessa, Algeria	      2 Tebessa
8.152,27.673	Tinduf, Algeria	      1 Rabouni	      1 Tinduf	      1 Tindouf
8.203,36.663	El Tarf, Algeria	      1 El-Tarf	      1 El Tarf	      1 El Taref	      1 El-Taref	      1 Eltarf
8.445,36.892	El Kala, El Tarf, Algeria	      1 El Kala
9.479,24.553	Djanet, Illizi, Algeria	      1 Djanet
1.493,42.467	Sant Julia de Loria, Andorra	      1 Sant Julia de Loria	      1 St Julia De Loria	      1 Julia De Loria
1.520,42.505	Andorra la Vella, Andorra	      3 Andorra la Vella	      1 Prat de la Creu	      1 Andorra La Vella
1.542,42.509	Escaldes-Engordany, Andorra	      3 Escaldes-Engordany	      1 Escaldes	      1 Escaldes Engordany	      1 Meritxell	      1 ESCALDES-ENGORDANY
1.700,42.532	Grau Roig, Encamp, Andorra	      1 Grau Roig
12.135,-15.197	Namibe, Angola	      1 Namibe
13.242,-8.812	Luanda, Angola	      5 Luanda	      1 Agostinho Neto	      1 David Bernardino	      1 Angolan Army	      1 Sagrada Esperanca	      1 Kifangondo	      1 Lumda	      1 Kilamba	      1 LUANDA
13.397,-12.591	Benguela, Angola	      1 Provincia de Benguela	      1 Benguela
13.557,-12.360	Lobito, Benguela, Angola	      1 Lobito	      1 Sonamet
13.659,-8.579	Caxito, Bengo, Angola	      1 Caxito
13.659,-8.579	Bengo, Angola	      1 Bengo
13.921,-9.528	Muxima, Angola	      1 Muxima
14.230,-13.024	Cubal, Benguela, Angola	      1 Cubal
14.95,-9.15	Cabinda, Cuanza Norte, Angola	      1 Cabinda
15.056,-7.611	Uige, Angola	      1 Uige	      1 Kimpa Vita
15.367,-14.833	Huambo, Huila, Angola	      2 Huambo
15.529,-14.911	Lubango, Huila, Angola	      2 Lubango
16.372,-9.549	Malanje, Angola	      1 Malanje
17.665,-14.660	Menongue, Cuando Cubango, Angola	      1 Menongue
-64.123,-64.774	Palmer Station, Antarctica	      1 Palmer Peninsula
62.877,-67.599	Mawson Station, Antarctica	      1 Australian National Antarctic Research Expedition	      1 Mawson Station
123.286,-75.098	Concordia Station, Antarctica	      1 Concordia Stn	      1 Concordia Station
139.993,-66.663	Dumont d'Urville Station, Antarctica	      1 Base Dumont d'Urville	      1 Dumont d'Urville Station
166.644,-77.840	McMurdo, Ross Island, Antarctica	      1 McMurdo	      1 McMurdo Station
-61.713,17.046	Crossroads, Willoughby Bay, Antigua and Barbuda	      1 Woods Centre	      1 Crossroads Centre
-61.733,17.033	Willoughby Bay, Antigua and Barbuda	      3 Willoughby Bay
-61.798,17.156	Coolidge, Saint George, Antigua and Barbuda	      2 Coolidge	      1 Aua	      1 Antigua School
-61.846,17.118	Saint John's, Antigua and Barbuda	      3 St John's	      1 St. John's	      1 St Johns	      1 Holberton	      1 Hoberton	      1 Belmont Clinic
-54.579,-25.597	Puerto Iguazu, Misiones, Argentina	      1 Puerto Iguazu
-54.775,-26.567	Montecarlo, Misiones, Argentina	      1 Montecarlo
-54.826,-26.829	Misiones, Argentina	      9 Misiones	      1 Pcia de Misiones
-55.502,-27.634	Cerro Azul, Misiones, Argentina	      1 Cerro Azul
-55.192,-27.494	Oberá, Misiones, Argentina	      1 Obera
-55.744,-27.461	Candelaria, Misiones, Argentina	      1 Candelaria
-55.906,-27.398	Posadas, Misiones, Argentina	      8 Posadas	      1 Posadas (Misiones
-56.706,-36.722	Mar de Ajo, Buenos Aires, Argentina	      1 Mar de Ajo	      1 Mar De Ajo
-58.698,-36.573	Quequen, Buenos Aires, Argentina	      1 Quequen
-59.474,-34.249	San Antonio de Areco, Buenos Aires, Argentina	      1 San Antonio de Areco	      1 San Antonio De Areco
-59.865,-34.384	Carmen de Areco, Buenos Aires, Argentina	      1 Carmen de Areco	      1 Carmen De Areco
-56.725,-36.370	San Clemente del Tuyu, Buenos Aires, Argentina	      1 San Clemente del Tuyu	      1 San Clemente Del Tuyu
-59.453,-34.447	San Andrés de Giles, Buenos Aires, Argentina	      1 San Andres de Giles	      1 San Andres De Giles
-56.770,-36.376	San Clemente del Tuyú, Buenos Aires, Argentina	      1 San Clemente del Tuyu
-57.567,-37.995	Mar del Plata, Buenos Aires, Argentina	    174 Mar del Plata	      4 Mar de Plata (Buenos Aires	      3 Mar Del Plata	      1 Mardel Plata	      1 Mar del plata	      1 Mar del Playa	      1 Mar del Piala	      1 Guernica	      1 Mar DE Plata	      1 Mar De Plata	      1 Juan H. Jara	      1 Mar Plata	      1 Mar Del Ptata	      1 Tetamanti	      1 Mar del. Plata	      1 UNMdP	      1 UNMDP
-57.96,-34.929	La Plata, Buenos Aires, Argentina	    882 La Plata	      3 LaPlata	      2 la Plata	      1 La Plata Buenos Aires	      1 La Plata B	      1 de La Plata	      1 San Juan de Dios	      1 Gonnet	      1 San Martin de La Plata	      1 Agudos General San Martin	      1 Agudos Gral San Martin	      1 Agudos Gral. San Martin	      1 San Martin La Plata	      1 Berisso	      1 Nacional de a Plata	      1 Maria Ludovica	      1 San Martin' de La Plata	      1 'Gral. San Martin' de La Plata	      1 Noel H. Sbarra	      1 LA Plata	      1 CRAI Sur	      1 San Juan De Dios	      1 UNLP
-58.018,-31.392	Concordia, Entre Ríos, Argentina	      1 Concordia
-58.018,-35.577	Chascomús, Buenos Aires, Argentina	      7 Chascomus
-58.177,-26.183	Formosa, Argentina	      8 Formosa	      1 Formosa-Argentina
-58.216,-34.763	Berazategui, Buenos Aires, Argentina	      2 Berazategui
-58.232,-32.485	Concepcion del Uruguay, Entre Ríos, Argentina	      1 Concepcion del Uruguay	      1 Concepcion Del Uruguay	      1 C Del Uruguay	      1 Concepc Uruguay
-58.250,-33.083	Libertador San Martin, Entre Ríos, Argentina	      1 Libertador San Martin	      1 Adventista del Plata	      1 Libertadores San Martin	      1 Lib San Martin
-58.254,-34.726	Quilmes, Buenos Aires, Argentina	     17 Quilmes
-58.258,-37.846	Balcarce, Buenos Aires, Argentina	     29 Balcarce	      1 Bulcarce	      1 Belcarce
-58.271,-34.796	Florencio Varela, Buenos Aires, Argentina	      7 Florencio Varela	      7 El Cruce
-58.280,-34.710	Bernal, Buenos Aires, Argentina	     17 Bernal	      1 Saenz Pena	      1 Quilmes National	      1 Nacional de Quilmes	      1 Nacl Quilmes	      1 Univ Quilmes	      1 University of Quilmes	      1 Quilmes Natl	      1 Quilmes Univ	      1 Quilmes University	      1 QuilmesBernal
-58.368,-34.661	Avellaneda, Buenos Aires, Argentina	      2 Avellaneda
-58.382,-34.604	Buenos Aires, Argentina	   7390 Buenos Aires	      6 Buenos-Aires	      4 Aires	      3 de Buenos Aires	      3 Buenos Aries	      3 BuenosAires	      2 Buenos	      1 I Buenos Aires	      1 Bunenos Aires	      1 Bueons Aires	      1 Buenos Buenos Aires	      1 Buenos Atres	      1 Buenos Aires C.P	      1 Buenos Aires CP	      1 Buenos AIres	      1 Buenois Aires	      1 Bueno Aires	      1 Buenoa Aires	       5 Cdad. de Bs. As	      1 Bucnos Aires	      1 Beunos Aires	       5 Paraguay	       5 Provincia de Buenos Aires	       5 p. Buenos Aires	       5 Pcia. de Bs. As	       5 Bs As	       5 Pcia Bs As	       5 Alejandro Posadas	       5 A. Posadas	       5 A Posadas	       5 Ciudad Autonoma de Buenos Aires	       5 Jose T. Borda	       5 Jose T Borda	       5 Italiano de Buenos Aires	       5 Buenos Aires. Argentina	       5 CEFYBO	       5 UBA	       5 Capital Federal	       1 UBA Cordoba	       1 Bs. As	       1 UNBA	       1 Alfredo Lanari	       1 Proyecto Suma	       1 Urquiza Bs	       1 Urquiza y Uruguai	       1 Jose de San Martin	       1 Jos de San Martin	       1 Pcia. Buenos Aires	       1 Leloir	       1 C.A.B.A.	       1 Lincoln	       1 CABA	      1 Adrogue	      1 Garrahan	      1 Ezeiza	      1 Tres de Febrero	      1 Buenos Aires Campus	      1 Pcia de Buenos Aires	      1 Pedro de Elizalde	      1 Pedro Elizalde	      1 Prov de Buenos Aires	      1 Prov. de Buenos Aires	      1 Ciudad de Buenos Aires	      1 Buenos Aires Brazil	      1 PBA	      1 Ricardo Gutierrez	      1 Mundo Sano	      1 Martinez Argentina	      1 Favaloro	      1 Buenos Aires Spain	      1 Carlos Durand	      1 Carlos Malbran	      1 Churruca	      1 Udaondo	      1 Eduardo Castilla	      1 Municipalidad de La Costa	      1 Pcia. Bs. As	      1 Juan Fernandez	      1 Bernardino Rivadavia	      1 Buenos Aires Paraguary	      1 IBYME	      1 XBio	      1 Argerich	      1 Teodoro Alvarez	      1 Alvear	      1 T. Alvarez	      1 Sede Academica de Argentina	      1 LeDor	      1 ANMAT	      1 Borda	      1 Corte Suprema de Justicia de la Nacion	      1 BsAs	      1 Enrique Torn	      1 Enrique Tornu	      1 E. Torn	      1 Muniz	      1 Lacaniana	      1 Quirno	      1 Otamendi	      1 Favaloro University Portugal	      1 Buenos Aires-Argentina	      1 ciudad de buenos aires	      1 Trinidad Mitre	      1 Hospital Rawson Buenos Aires	      1 Rawson Hospital Buenos Aires	      1 Rawson Buenos Aires	      1 CIUDAD DE BUENOS AIRES	      1 BUENOS AIRES	      1 Medico Alexander Fleming	      1 Cesar Milstein	      1 Raul Carrea	      1 Santojanni	      1 Fatala-Chaben	      1 Fatala Chaben	      1 Ftala-Chaben	      1 Juan A. Fernandez	      1 GCBA	      1 Abel Zubizarreta	      1 A. Zubizarreta	      1 Sanatorio Los Arcos	      1 CEVAN	      1 Agudos Jose Penna	      1 Julio Mendez	      1 Braulio A. Moyano	      1 Ramon Sarda	      1 Anchorena	      1 Trinidad Palermo	      1 Castex	      1 Gioja	      1 Pallium Latinoamerica	      1 Jossquare de San Mart'n	      1 Caba	      1 Ciudad Autonoma De Bueno	      1 Carlos G Malbran	      1 Petrona Villegas	      1 Rafael Calzada	      1 Pirovamo	      1 Pirovano	      1 CIPYP	      1 Buenos Aires Cordoba	      1 Porfirinas y Porfirias
-58.393,-34.699	Lanus, Buenos Aires, Argentina	      2 Lanus
-58.430,-34.761	Lomas de Zamora, Buenos Aires, Argentina	      2 Lomas de Zamora	      2 Banfield	      2 Llavallol	      2 Lomas DE Zamora	      2 Gandulfo	      2 Lomas De Zamora
-58.441,-34.543	Ciudad Universitaria, Buenos Aires, Argentina	      2 Ciudad Universitaria	      2 Pabellon II	      2 Pabellon I	      2 Pab. 2	      2 Pabellon 2	      1 INQUIMAE	      1 IFIBYNE	      1 FCEN	      1 IQUIBICEN	      1 UMYMFOR
-58.466,-34.822	Monte Grande, Buenos Aires, Argentina	      1 Monte Grande
-58.473,-34.525	Vicente Lopez, Buenos Aires, Argentina	      2 Vicente Lopez	      2 Vte. Lopez	      2 Florida - Vte. Lopez
-58.499,-34.511	Olivos, Vicente Lopez, Buenos Aires, Argentina	      2 Olivos
-58.509,-34.554	Villa Martelli, Buenos Aires, Argentina	      2 Villa Martelli	      2 V. Martelli
-59.311,-33.132	Gualeguay, Entre Ríos, Argentina	      1 Gualeguay
-58.511,-33.008	Gualeguaychu, Entre Ríos, Argentina	      1 Gualeguaychu
-58.529,-34.471	San Isidro, Buenos Aires, Argentina	      2 San Isidro	      2 Acassuso
-58.537,-34.576	San Martin, Buenos Aires, Argentina	      1 San Martin	      1 Nacional de San Martin	      1 Ugalde
-58.554,-34.655	Ramos Mejia, Buenos Aires, Argentina	      1 Ramos Mejia	      1 Ramos Mejia Spain
-58.564,-34.688	San Justo, Buenos Aires, Argentina	      2 San Justo	      2 La Matanza
-58.567,-34.501	Boulogne, Buenos Aires, Argentina	      2 Boulogne
-58.575,-34.629	El Palomar, Buenos Aires, Argentina	      1 El Palomar	      1 Palomar	      1 Palomar City
-58.580,-34.425	Tigre, Buenos Aires, Argentina	      2 Tigre	      2 General Pacheco
-58.586,-34.806	Ezeiza, Buenos Aires, Argentina	      2 Ezeiza
-58.596,-34.644	Haedo, Buenos Aires, Argentina	      4 Haedo
-58.617,-34.656	Moron, Buenos Aires, Argentina	      4 Moron
-58.634,-34.599	Hurlingham, Buenos Aires, Argentina	      4 Hurlingham	      1 Hurlinghan
-58.667,-34.667	Castelar, Buenos Aires, Argentina	     34 Castelar	      1 CASTELAR
-58.691,-34.500	Los Polvorines, Buenos Aires, Argentina	      4 Los Polvorines	      1 Polvorines
-58.735,-34.669	Merlo, Buenos Aires, Argentina	      2 Merlo
-58.712,-34.543	San Miguel, Buenos Aires, Argentina	      4 San Miguel
-58.733,-34.433	Garín, Buenos Aires, Argentina	      1 Garin
-58.746,-34.387	Escobar, Buenos Aires, Argentina	      1 Escobar
-58.756,-38.561	Necochea, Buenos Aires, Argentina	      1 Necochea
-58.818,-27.487	Corrientes, Argentina	     85 Corrientes	      1 Correntes	      1 University of the North-East	      1 University of The North-East	      1 Corrientes. Argentina	      1 IBONE
-58.862,-34.791	Marcos Paz, Buenos Aires, Argentina	      1 Marcos Paz
-58.908,-34.456	Pilar, Buenos Aires, Argentina	      3 Pilar	      3 Derqui
-58.947,-34.627	General Rodríguez, Buenos Aires, Argentina	      1 General Rodriguez	      1 Gral. Rodriguez	      1 Vicente Lopez y Planes	      1 Agudos Lopez y Planes
-58.963,-34.159	Campana, Buenos Aires, Argentina	      1 Campana
-58.095,-29.785	Curuzú Cuatiá, Corrientes, Argentina	      1 Curuzu Cuatia
-58.983,-29.617	Malvinas, Corrientes, Argentina	      1 C. de Malvinas
-58.075,-29.184	Mercedes, Corrientes, Argentina	      1 Mercedes
-58.987,-27.457	Resistencia, Chaco, Argentina	     13 Resistencia	      3 Perrando
-59.943,-26.049	Pampa del Indio, Chaco, Argentina	      1 Pampa del Indio
-59.060,-28.513	Bella Vista, Corrientes, Argentina	      1 Bella Vista
-58.713,-34.574	Bella Vista, Buenos Aires, Argentina	      1 Bella Vista
-59.085,-36.779	Rauch, Buenos Aires, Argentina	      1 Rauch
-59.117,-34.566	Lujan, Buenos Aires, Argentina	      6 Lujan	      4 Lujan (B	      1 Lujan B	      1 UNLu
-59.142,-37.325	Tandil, Buenos Aires, Argentina	    112 Tandil
-59.145,-32.304	Rosario del Tala, Entre Ríos, Argentina	      2 Rosario del Tala
-59.277,-32.103	Entre Ríos, Argentina	     12 Entre Rios
-59.701,-29.167	Reconquista, Santa Fe, Argentina	      4 Reconquista
-60.779,-31.677	Santo Tomé, Santa Fe, Argentina	      1 Santo Tome
-56.038,-28.552	Santo Tomé, Corrientes, Argentina	      1 Santo Tome
-59.864,-36.784	Azul, Buenos Aires, Argentina	      1 Azul
-60.019,-34.897	Chivilcoy, Buenos Aires, Argentina	      2 Chivilcoy
-60.315,-36.892	Olavarria, Buenos Aires, Argentina	      2 Olavarria
-60.320,-38.366	Tres Arroyos, Buenos Aires, Argentina	      2 Tres Arroyos
-60.5,-30.217	La Blanca, Santa Fe, Argentina	      4 Blanca
-60.517,-31.817	Oro Verde, Entre Ríos, Argentina	      1 Oro Verde	      1 O. Verde
-60.532,-31.73	Paraná, Entre Ríos, Argentina	      5 Parana
-60.569,-33.896	Pergamino, Buenos Aires, Argentina	     22 Pergamino	      1 Pergamio	      1 Pergarmino	      1 Maiztegui
-60.614,-24.706	Las Lomitas, Formosa, Argentina	      1 Lomitas	      1 Hosp Lomitas
-60.641,-32.073	Diamante, Entre Ríos, Argentina	      1 Diamante
-60.664,-32.938	Rosario, Santa Fe, Argentina	    389 Rosario	      2 Rosario-Santa Fe	      1 Rosario Santa Fe	      1 Rosarino	      1 Rorario	      1 Roasario	      1 Provincial del Centenario	      1 Rosari	      1 Rosario. Argentina	      1 UN Rosario	      1 Granaderos a Caballo	      1 Rasario	      1 ROSARIO
-60.698,-31.617	Santa Fe, Argentina	    314 Santa Fe	      6 Sante Fe	      6 Provincia de Santa Fe	      6 Nacional del Litoral	      1 Emilio Coni	      1 Coni	      3 E. Coni	      3 Iturraspe	      3 INCAPE
-60.672,-31.640	Ciudad Universitaria, Santa Fe, Argentina	      3 Ciudad Universitaria	      3 Paraje El Pozo	      3 Ciudad Universitaria Paraje El Pozo	      3 Paraje 'El Pozo'	      3 Paraje el Pozo
-60.774,-32.856	Granadero Baigorria, Rosario, Santa Fe, Argentina	      1 Granadero Baigorria	      1 G. Baigorria	      1 Baigorria
-60.883,-33.017	Zavalla, Rosario, Santa Fe, Argentina	      1 Zavalla
-60.896,-26.047	Chaco, Argentina	     12 Chaco
-60.440,-26.802	Presidencia Roque Saenz Pena, Chaco, Argentina	     12 Presidencia Roque Saenz Pena	     12 Saenz Pena	     1 Pcia R Saenz Pena	     1 Pres. Roque Saenz Pena	     1 P.R. Saenz Pena	     1 Presidencia Roque Saenz
-61.534,-24.927	Misión Nueva Pompeya, Chaco, Argentina	      1 Nueva Pompeya
-60.930,-31.449	Esperanza, Santa Fe, Argentina	      7 Esperanza
-60.962,-34.595	Junín, Buenos Aires, Argentina	      1 Junin Buenos Aires	      1 Junin	      1 Abraham Pineyro	      1 Pequena Familia
-61.173,-33.05	Casilda, Santa Fe, Argentina	      6 Casilda
-61.485,-31.251	Rafaela, Santa Fe, Argentina	      3 Rafaela (Santa Fe	      2 Rafaela	      2 Jaime Ferre
-61.991,-33.736	Venado Tuerto, Santa Fe, Argentina	      3 Venado Tuerto
